Symbol,FoldChange,Pval,Gene
100500853,-2.46,0.003, MIR3605
100500808,2.35,4.18E-06, MIR3917
102464826,-2.29,0.0002, MIR6073
102465252,-2.41,0.0001, MIR6506
441771,3.92,0.0027, MT1CP
654434,-2.82,5.13E-06, SNHG20
677829,-2.08,0.0041, SNORA49
26812,-2.15,9.41E-06, SNORD37
64595,2.52,0.0163, TTTY15
51099,-2.11,4.20E-05,ABHD5
80325,-2.24,0.0003,ABTB1
2180,-2.29,0.0154,ACSL1
103,2.07,0.0012,ADAR
30817,-2.78,3.89E-06,ADGRE2
84658,-3.02,3.30E-05,ADGRE3
9289,2.8,0.0003,ADGRG1
222487,-2.45,1.14E-05,ADGRG3
51094,-2.17,0.0006,ADIPOR1
3899,-2.02,0.0019,AFF3
199,-2.03,0.0411,AIF1
249,-7.99,1.91E-05,ALPL
120425,-2.08,0.0002,AMICA1
286,-5.74,0.0007,ANK1
302,2.7,0.0006,ANXA2
308,2.4,4.69E-06,ANXA5
80830,2.04,0.0039,APOL6
366,-2.02,0.0043,AQP9
10123,2.04,3.00E-05,ARL4C
84164,-2.69,0.0033,ASCC2
10409,-2.64,0.0005,BASP1
598,-3.1,0.0165,BCL2L1
645,-3.57,0.0032,BLVRB
665,-3.61,4.92E-05,BNIP3L
669,-4.57,0.0002,BPGM
23476,-2.05,0.006,BRD4
682,-3.53,0.0012,BSG
689,-2.86,0.0083,BTF3
719,2.15,0.0168,C3AR1
27202,-2.16,3.24E-05,C5AR2
647087,-2.58,0.0001,C7orf73
759,-5.77,0.0021,CA1
801,2.9,7.39E-09,CALM1
811,2.66,1.32E-07,CALR
57118,-3.14,7.69E-06,CAMK1D
838,-2.1,0.0052,CASP5
57091,-2.79,1.96E-06,CASS4
847,-2.75,0.0006,CAT
890,2.05,0.0011,CCNA2
79616,-4.79,8.51E-06,CCNJL
8763,2.23,8.03E-08,CD164
952,2.88,7.48E-05,CD38
928,-2.2,0.0003,CD9
22918,-2.25,0.0004,CD93
10435,-2.09,2.15E-07,CDC42EP2
1116,-2.73,0.027,CHI3L1
129607,14.23,2.40E-06,CMPK2
27013,-2.47,0.0002,CNPPD1
79937,-2.92,2.48E-05,CNTNAP3
643827,-6.76,7.21E-08,CNTNAP3P2
1292,2.09,6.09E-05,COL6A2
1359,-2.63,0.0001,CPA3
1362,-2.66,1.32E-05,CPD
55313,-2.06,0.0011,CPPED1
10404,-2.38,5.19E-06,CPQ
1379,-2.02,0.0175,CR1L
9586,-3.58,1.45E-05,CREB5
1387,-2.26,0.0001,CREBBP
1399,2.36,0.0042,CRKL
200186,-2.65,0.0002,CRTC2
1438,-2.07,0.0001,CSF2RA
1439,-2.45,0.0008,CSF2RB
1441,-2.26,0.0092,CSF3R
1471,3.36,1.76E-06,CST3
1521,2.8,2.05E-05,CTSW
1524,2.77,0.0007,CX3CR1
6374,-2.03,0.001,CXCL5
79901,-3,3.22E-05,CYBRD1
25853,-3.69,0.0007,DCAF12
54165,-2.89,1.83E-05,DCUN1D1
23586,2.13,0.0155,DDX58
55601,5.63,7.94E-06,DDX60
91351,2.54,0.005,DDX60L
84649,-2.56,6.78E-05,DGAT2
79758,-2.83,5.06E-05,DHRS12
147015,-2.15,0.0018,DHRS13
79132,2.35,0.0003,DHX58
84925,-2.8,6.86E-08,DIRC2
1794,3.37,0.0006,DOCK2
80005,-2.65,0.0002,DOCK5
1824,-5.11,4.10E-07,DSC2
151636,2.46,0.0005,DTX3L
1938,-2.15,9.41E-06,EEF2
80258,-2.2,1.36E-06,EFHC2
27102,-3.13,0.0011,EIF2AK1
5610,3.71,0.0013,EIF2AK2
953,-2.24,2.51E-05,ENTPD1
57634,-2.08,0.0041,EP400
2035,-5.49,5.65E-07,EPB41
2038,-5.62,0.0002,EPB42
94240,11.12,1.41E-07,EPSTI1
51513,2.11,0.0028,ETV7
359845,-2.33,0.001,FAM101B
285172,-2.03,0.0009,FAM126B
116496,-2.45,0.001,FAM129A
116151,-2.31,0.0001,FAM210B
80256,-2.31,8.59E-06,FAM214B
54855,-5.05,5.08E-05,FAM46C
51307,-2.05,1.46E-05,FAM53C
79567,-2.25,2.37E-06,FAM65A
653820,2.2,0.0002,FAM72B
10826,-7.07,0.0047,FAXDC2
25793,-2.31,0.0025,FBXO7
2205,-2.9,0.0004,FCER1A
2209,-2.29,0.0038,FCGR1A
115548,-2.29,0.0026,FCHO2
2235,-3.66,3.78E-05,FECH
83888,3.24,0.0036,FGFBP2
2319,2.19,0.0047,FLOT2
2549,-2.68,5.28E-06,GAB1
2623,-2.23,7.17E-05,GATA1
2633,4.06,0.0043,GBP1
2635,2,0.0039,GBP3
25801,-2.34,6.14E-05,GCA
51218,-2.96,0.0032,GLRX5
144423,-2.07,0.0035,GLT1D1
2752,-2.32,4.24E-06,GLUL
2766,-3.75,6.52E-05,GMPR
10578,4.49,2.61E-05,GNLY
54762,-2.56,8.26E-05,GRAMD1C
2907,-2.75,0.0011,GRINA
2896,3.16,1.85E-05,GRN
2935,-4.05,0.0039,GSPT1
2987,-2.27,0.001,GUK1
2993,-5.81,4.84E-05,GYPA
2994,-3.44,0.0011,GYPB
2995,-2.06,0.023,GYPC
2996,-2.29,0.0085,GYPE
3002,2.48,1.47E-05,GZMB
2999,2.66,0.0004,GZMH
3029,-2.1,0.0003,HAGH
3034,-2.09,0.0056,HAL
3047,-3.9,0.0262,HBG1
3048,-3.9,0.0262,HBG2
10870,3.67,9.48E-05,HCST
55363,-7.81,2.65E-07,HEMGN
51191,5.07,0.0012,HERC5
55008,2.7,7.36E-08,HERC6
204851,-2.13,0.0065,HIPK1
3009,3.11,5.78E-06,HIST1H1B
3008,2.34,0.0001,HIST1H1E
8969,2.48,6.92E-05,HIST1H2AG
8331,2.09,9.99E-07,HIST1H2AJ
8336,2.1,1.38E-06,HIST1H2AM
3017,2.13,1.84E-06,HIST1H2BD
8345,2.05,1.20E-05,HIST1H2BH
8342,11.42,1.57E-09,HIST1H2BM
8358,3.25,2.16E-06,HIST1H3B
8355,2.66,7.44E-05,HIST1H3G
8354,2.14,7.60E-06,HIST1H3I
8356,2.1,1.38E-06,HIST1H3J
3274,-2.18,0.0001,HRH2
59340,-2.09,0.0059,HRH4
57061,-2.49,4.45E-07,HYMAI
3385,-2.84,5.57E-06,ICAM3
3398,2.24,0.0047,ID2
3429,33.55,2.18E-08,IFI27
10561,13.96,4.90E-05,IFI44
10964,59.44,6.02E-06,IFI44L
2537,23.61,1.36E-05,IFI6
64135,2.98,0.0002,IFIH1
3434,9.23,0.0081,IFIT1
439996,-2.66,0.0003,IFIT1B
3433,3.06,0.0315,IFIT2
3437,9.08,0.0009,IFIT3
24138,3.07,0.0002,IFIT5
3475,-2.26,0.0008,IFRD1
3480,-4.17,4.36E-07,IGF1R
10644,-2.49,0.0008,IGF2BP2
3482,-2.48,0.0022,IGF2R
100423062,7.9,3.87E-06,IGLL5
10261,-2.67,3.92E-06,IGSF6
3597,-3.09,8.23E-05,IL13RA1
3553,-2.11,0.0087,IL1B
7850,-4.06,0.0012,IL1R2
3556,-4.28,1.21E-07,IL1RAP
3570,-2.02,0.002,IL6R
221895,-3.11,0.0001,JAZF1
3512,11.51,1.83E-05,JCHAIN
3759,-2.55,0.0006,KCNJ2
9665,-2.41,0.0001,KIAA0430
285600,-2.28,0.0002,KIAA0825
57535,-2.47,0.0121,KIAA1324
8609,-2.73,2.49E-05,KLF7
11275,-2.39,0.0004,KLHL2
3824,2.35,0.0127,KLRD1
51348,2.59,0.0069,KLRF1
83999,-2.35,0.0005,KREMEN1
51056,3.14,0.0017,LAP3
3956,2.07,0.0003,LGALS1
3965,2.25,0.0091,LGALS9
8825,-2.69,0.0001,LIN7A
283521,-4.56,2.17E-08,LINC00282
253128,2.17,0.0002,LINC00612
100506115,-2.43,0.0013,LINC01272
643418,-2.39,9.86E-05,LIPN
4001,2.02,0.0001,LMNB1
4012,2.09,0.0007,LNPEP
9170,-2.72,6.31E-08,LPAR2
10161,2.22,0.0215,LPAR6
26020,-2.16,0.0069,LRP10
64101,-2.04,0.0004,LRRC4
4061,15.91,6.25E-07,LY6E
4117,-2.52,4.60E-06,MAK
57506,3.86,0.0002,MAVS
55796,-6.54,2.29E-06,MBNL3
129642,-2.86,1.21E-06,MBOAT2
79143,-2.65,2.11E-05,MBOAT7
57192,-2.51,0.0058,MCOLN1
81857,-2.17,0.0007,MED25
8972,-3.05,0.0045,MGAM
93432,-3.52,0.0013,MGAM2
9645,-3.88,1.32E-06,MICAL2
9645,-2.48,6.37E-06,MICALCL
4277,2.07,1.28E-05,MICB
100616468,-2.21,7.29E-05,MIR4742
619553,-3.65,1.03E-09,MIR484
102466864,-2.82,5.13E-06,MIR6516
102465480,-2.17,0.0007,MIR6800
102465513,-2.19,0.0091,MIR6852
23608,-3.94,0.0002,MKRN1
22877,-2.13,0.0006,MLXIP
56180,-2.12,7.22E-05,MOSPD1
4354,-3.49,7.81E-05,MPP1
9019,-3.04,0.0003,MPZL1
84689,-2.11,8.36E-06,MS4A14
339287,-2.3,0.0014,MSL1
4489,3.43,0.0077,MT1A
