#%result_name=Analysis_31,,,,,,,,
#%array_type=Clariom_S_Human,,,,,,,,
#%annotation=Clariom_S_Human.r1.na36.hg38.a1.transcript.csv,,,,,,,,
#%comparison=Asymp vs healthy,,,,,,,,
ID,Asymp Avg (log2),healthy Avg (log2),Fold Change,P-val,FDR P-val,Gene Symbol,Description,Group
TC1600007014.hg.1,9.76,11.63,-3.65,1.03E-09,1.68E-05,NDE1; MIR484,nudE neurodevelopment protein 1; microRNA 484,Multiple_Complex
TC0600007377.hg.1,11.58,8.07,11.42,1.57E-09,1.68E-05,HIST1H2BM,"histone cluster 1, H2bm",Coding
TC1600009935.hg.1,10.88,8.84,4.12,5.44E-09,3.89E-05,SPN,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_003123",NonCoding
TC1400007950.hg.1,14.18,12.65,2.9,7.39E-09,3.96E-05,CALM1,"calmodulin 1 (phosphorylase kinase, delta)",Multiple_Complex
TC1300008998.hg.1,9.02,11.21,-4.56,2.17E-08,6.67E-05,LINC00282,long intergenic non-protein coding RNA 282,NonCoding
TC1400008056.hg.1,10.81,5.74,33.55,2.18E-08,6.67E-05,IFI27,"interferon, alpha-inducible protein 27",Multiple_Complex
TC0200006677.hg.1,8,5.84,4.49,5.38E-08,0.0001,RRM2,ribonucleotide reductase M2,Multiple_Complex
TC1900011852.hg.1,5.45,6.75,-2.47,6.12E-08,0.0001,RFX2,"regulatory factor X, 2 (influences HLA class II expression)",Multiple_Complex
TC1900010073.hg.1,9.77,11.22,-2.72,6.31E-08,0.0001,LPAR2,lysophosphatidic acid receptor 2,Multiple_Complex
TC0300008563.hg.1,9.67,11.15,-2.8,6.86E-08,0.0001,DIRC2,disrupted in renal carcinoma 2,Multiple_Complex
TC0900007457.hg.1,6.35,9.11,-6.76,7.21E-08,0.0001,CNTNAP3P2; CNTNAP3,contactin associated protein-like 3 pseudogene 2; contactin associated protein-like 3,Multiple_Complex
TC0400008105.hg.1,9.85,8.42,2.7,7.36E-08,0.0001,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,Multiple_Complex
TC0600012814.hg.1,13.17,12.01,2.23,8.03E-08,0.0001,CD164,"CD164 molecule, sialomucin",Multiple_Complex
TC1400008905.hg.1,9.17,7.9,2.4,8.36E-08,0.0001,SPTSSA,"serine palmitoyltransferase, small subunit A",Multiple_Complex
TC0300009855.hg.1,8.65,10.75,-4.28,1.21E-07,0.0002,IL1RAP,interleukin 1 receptor accessory protein,Multiple_Complex
TC1900007108.hg.1,15.39,13.98,2.66,1.32E-07,0.0002,CALR,calreticulin,Multiple_Complex
TC0X00009387.hg.1,7.47,9.11,-3.13,1.34E-07,0.0002,RPGR,retinitis pigmentosa GTPase regulator,Multiple_Complex
TC1300008760.hg.1,11.7,8.22,11.12,1.41E-07,0.0002,EPSTI1,epithelial stromal interaction 1 (breast),Multiple_Complex
TC0900010968.hg.1,9.91,8.62,2.44,1.51E-07,0.0002,TRIM14,tripartite motif containing 14,Multiple_Complex
TC1100008010.hg.1,8.21,9.27,-2.09,2.15E-07,0.0002,CDC42EP2,CDC42 effector protein (Rho GTPase binding) 2,Multiple_Complex
TC2000007479.hg.1,9.99,14.67,-25.69,2.34E-07,0.0002,PI3,"peptidase inhibitor 3, skin-derived",Multiple_Complex
TC0900010959.hg.1,6.57,9.54,-7.81,2.65E-07,0.0002,HEMGN,hemogen,Multiple_Complex
TC2000009376.hg.1,11.33,12.39,-2.09,3.00E-07,0.0002,STAU1,staufen double-stranded RNA binding protein 1,Multiple_Complex
TC1100009942.hg.1,7.16,5.47,3.24,3.60E-07,0.0003,TRIM22,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL, UTR5 best transcript NM_001199573",NonCoding
TC1800006506.hg.1,14.07,12.59,2.78,3.92E-07,0.0003,MYL12A,myosin light chain 12A,Multiple_Complex
TC1800009268.hg.1,7.63,9.98,-5.11,4.10E-07,0.0003,DSC2,desmocollin 2,Multiple_Complex
TC1500008485.hg.1,9.04,11.1,-4.17,4.36E-07,0.0003,IGF1R,insulin-like growth factor 1 receptor,Multiple_Complex
TC0600013431.hg.1,6.62,7.94,-2.49,4.45E-07,0.0003,PLAGL1; HYMAI,pleiomorphic adenoma gene-like 1; hydatidiform mole associated and imprinted (non-protein coding),Multiple_Complex
TC0100007574.hg.1,14.5,16.95,-5.49,5.65E-07,0.0003,EPB41,erythrocyte membrane protein band 4.1,Multiple_Complex
TC1200008726.hg.1,10.92,12.84,-3.79,5.66E-07,0.0003,TCP11L2,"t-complex 11, testis-specific-like 2",Multiple_Complex
TC0800012371.hg.1,15.19,11.2,15.91,6.25E-07,0.0003,LY6E,"lymphocyte antigen 6 complex, locus E",Multiple_Complex
TC1200012708.hg.1,14.63,10.55,16.81,6.80E-07,0.0004,OAS1,2-5-oligoadenylate synthetase 1,Multiple_Complex
